text@se1959m	@se1959m	421.219	422.669	длинной верёвкой //
text@se1959m	@se1959m	426.75	427.75	стаскивает //
text@se1959m	@se1959m	435.6	437.6	упереться-то не во что / да //
text@se1959m	@se1959m	438.094	455.125	и съезжаешь / и всё там / я там так нырнул хорошо / пока вверх тащил // а там причём как / если ты спотыкаешься / соответственно / лодка начинает уплывать / значит / её / ну / не отпускать же её / она же уплывёт значит / соответственно тебя за этой лодкой тащит // ну это конечно / я понимаю / кадр был бы хороший / но как-то тут не до этого //
text@se1959m	@se1959m	455.85	458.525	кого она страхует / она там на берегу //
text@se1959m	@se1959m	460.5	463.125	да / ну наверное / внизу выловит //
text@se1959m	@se1959m	463.469	465.375	холодный труп / как говорится / #смеётся# //
text@se1959m	@se1959m	477.938	481.063	я что-то не помню чтобы мы там сильно уставали / что это //
text@se1959m	@se1959m	485.425	488.338	ну потаскали немножко / да // ничего особенного //
text@se1959m	@se1959m	488.651	491.875	через перевал / вот через этот / через завалы когда таскали //
text@se1959m	@se1959m	503.888	504.8	замывает //
text@se1959m	@se1959m	512.325	517.15	то есть там бурелом / ямы какие-то / то есть непроходимое совершенно /
text@se1959m	@se1959m	526.713	532.275	да / но вот эта пойма бескрайняя совершенно / вот в этой Уде / это просто / #нрзб# //
text@se1959m	@se1959m	536.079	547.65	ну как у Бородулиных / помнишь / они нам это продукты дают / она ещё говорит / ой / говорит нам столько не надо / ну сахара нам дали // ну / всё остальное хватает / сахара значит всегда не хватает / берите берите / вдруг / говорит / не в ту протоку //
text@se1959m	@se1959m	548.077	564.225	мы думаем / ну вот же / вроде уже всё уже // ни завалов / ничего нет // всё / плывём нормально / потом река меньше меньше меньше меньше / бац / всё // кончилась // ну я знаю что они на моторках ездят / она не может кончиться // хорошо / не очень далеко / значит у нас / это / заплыв / да / километра полтора вверх и обратно //
text@se1959m	@se1959m	565.502	567.45	в другую протоку // уу //
text@se1959m	@se1959m	569.82	570.995	сложные / да //
text@se1959m	@se1959m	573.8	592.025	они то знают дорогу / поэтому они и на моторке проезжают // а тут чуть ошибся // и всё / и вроде туда вот / в протоку шла / основная вода / то есть / ну // трудно / было то... / а потом знаешь какая она интересная / она растекается так / смотрю // илок появился на дне значит / и течение чего-то стекает // ну думаю всё / кранты / и точно совсем вот всё //
text@se1959m	@se1959m	592.575	598.35	ну а рядом там промыло новую протоку // узкую / крутую / значит / но проходимую //
text@se1959m	@se1959m	599.063	611.525	и там прямо видно / знаешь / как вот вода вал / вниз идёт прямо // то есть уклон такой / то есть ни бурунов ничего // потому что дно мелкая галька // ничего не бурлит / но прямо вид... виден уклон такой // и / несёт со страш... не даг бог //
text@se1959m	@se1959m	612.232	616.057	в эти сучки какие-нибудь влетишь // решето будет а не лодка //
text@ne1960f	@ne1960f	193.051	197.82	нам эвенки сказали говорят / мы тоже бы с вами поплыли да камней много //
text@ne1960f	@ne1960f	200.006	207.205	ну какая же река без камней / а когда мы увидели мы поняли что такое камни / это громадные валуны такие в общем окатанные / а //
text@ne1960f	@ne1960f	208.487	210.948	да // ну там видно в общем вот //
text@ne1960f	@ne1960f	212.64	216.384	да и поэтому вот они так / ко всему относятся и вот // #смеётся# / как бы //
text@ne1960f	@ne1960f	225.717	226.5	ну да //
text@ne1960f	@ne1960f	234.967	236.417	#смеётся # //
text@ne1960f	@ne1960f	263.893	265.425	но это короткая лодка //
text@ne1960f	@ne1960f	312.2	313.5	да да да //
text@ne1960f	@ne1960f	335.597	336.772	а провести тоже нет //
text@ne1960f	@ne1960f	382.675	386.275	какое-то растение // то есть это // да //
text@ne1960f	@ne1960f	407.675	408.925	#одновременно#
text@ne1960f	@ne1960f	419.963	430.1	да / на длинной верёвке / и / там / скользкие / я там её тяну / а меня наоборот / туда / потому что это / ну к лодке / потому что очень скользкие / эти / камни / я думаю / действительно невозможно //
text@ne1960f	@ne1960f	430.45	435.775	там надо найти какое-то место / а если это / просто вот / горизонтально так выположенное место //
text@ne1960f	@ne1960f	436.225	438.725	да / не во что / просто упора никакого нет //
text@ne1960f	@ne1960f	458.325	459.4	ну да / это #нрзб# //
text@ne1960f	@ne1960f	459.844	460.319	ну //
text@ne1960f	@ne1960f	472.65	474.35	да не / ничего не было //
text@ne1960f	@ne1960f	478.613	480.063	я то... / да //
text@ne1960f	@ne1960f	480.35	485.7	потому что в основном сплав / ну что там / это / понятно // только перевалили там вот //
text@ne1960f	@ne1960f	486.163	489.275	потаскали там / да // а та... / а так это ничего //
text@ne1960f	@ne1960f	490.95	503.875	да / через завалы там конечно мы / потом / это / Уда / например / река / там / э / там / сплошная пойма / думаю как там вот / с... / даже когда домики / там вот / местные жители / ставят такие / как в охотнике домик / их всё время с... //
